   Tiefe	qc
     (m)	    (MPa)
26,86	1,59
26,88	1,57
26,9	1,78
26,92	1,82
26,94	1,79
26,96	1,81
26,98	1,88
27	1,62
27,02	1,48
27,04	1,43
27,06	1,43
27,08	1,46
27,1	1,55
27,12	1,62
27,14	1,63
27,16	1,62
27,18	1,56
27,2	1,52
27,22	1,40
27,24	1,33
27,26	1,28
27,28	1,26
27,3	1,23
27,32	1,24
27,34	1,29
27,36	1,33
27,38	1,34
27,4	1,33
27,42	1,36
27,44	1,40
27,46	1,41
27,48	1,45
27,5	1,53
27,52	1,65
27,54	1,78
27,56	1,91
27,58	2,02
27,6	2,15
27,62	2,29
27,64	2,44
27,66	2,61
27,68	2,83
27,7	3,02
27,72	3,19
27,74	3,40
27,76	3,59
27,78	3,81
27,8	4,08
27,82	4,44
27,84	4,69
27,86	4,80
27,88	4,87
27,9	5,06
27,92	5,68
27,94	7,48
27,96	10,60
27,98	14,44
28	17,73
28,02	20,47
28,04	23,89
28,06	25,96
28,08	26,64
28,1	26,79
28,12	26,73
28,14	26,51
28,16	26,05
28,18	25,68
28,2	24,84
28,22	23,42
28,24	21,49
28,26	19,49
28,28	17,56
28,3	16,61
28,32	15,66
28,34	14,71
28,36	13,63
28,38	12,84
28,4	12,56
28,42	12,62
28,44	12,98
28,46	13,68
28,48	15,09
28,5	17,02
28,52	19,04
28,54	20,76
28,56	21,95
28,58	23,04
28,6	24,42
28,62	26,39
28,64	28,74
28,66	31,21
28,68	33,59
28,7	35,64
28,72	37,19
28,74	38,34
28,76	39,01
28,78	39,32
28,8	39,42
28,82	39,47
28,84	39,44
28,86	39,43
28,88	39,36
28,9	39,37
28,92	39,27
28,94	39,23
28,96	39,32
28,98	39,37
29	39,40
29,02	39,45
29,04	39,48
29,06	39,79
29,08	40,58
29,1	40,93
29,12	41,23
29,14	41,52
29,16	41,53
29,18	41,44
29,2	41,13
29,22	40,75
